studentid,cohorttermindex,pathway,creditsearned,collegecreditsearned,collegecreditsattempted
31130,3,1,6,6,6
31130,4,1,15,15,18
31130,5,99,,,
31130,6,99,,,
31146,1,2,6,6,9
31146,2,2,12,12,15
31146,3,2,9,9,9
31146,4,99,,,
31146,5,99,,,
31146,6,99,,,
31149,1,2,12,12,15
31149,2,2,9,9,9
31149,3,99,,,
31149,4,99,,,
31149,5,99,,,
31149,6,99,,,
31154,1,4,3,3,3
31154,2,4,9,9,9
31154,3,4,3,3,3
31154,4,4,15,15,15
31154,5,4,15,15,15
31154,6,100,,,
31156,1,3,12,9,9
31156,2,3,18,18,18
31156,3,3,15,15,15
31156,4,3,12,12,12
31156,5,4,15,15,15
31156,6,101,,,
31157,1,4,3,3,3
31157,2,4,6,3,3
31157,3,4,12,12,12
31157,4,4,12,12,12
31157,5,4,12,12,12
31157,6,99,,,
31160,1,1,3,3,6
31160,2,1,15,15,15
31160,3,1,15,15,15
31160,4,100,,,
31160,5,100,,,
31160,6,100,,,
31166,1,2,9,9,9
31166,2,2,12,12,12
31166,3,2,9,9,9
31166,4,2,12,12,12
31166,5,2,9,9,12
31166,6,99,,,
31176,1,1,3,3,3
31176,2,1,3,3,3
31176,3,1,3,3,3
31176,4,1,15,15,15
31176,5,99,,,
31176,6,99,,,
31177,1,1,3,3,3
31177,2,1,15,15,15
31177,3,1,9,9,9
31177,4,100,,,
31177,5,100,,,
31177,6,100,,,
31181,1,1,12,12,12
31181,2,1,15,15,15
31181,3,1,6,6,9
31181,4,1,15,15,18
31181,5,1,9,9,9
31181,6,99,,,
31186,1,4,12,12,12
31186,2,4,12,12,12
31186,3,4,12,12,12
31186,4,4,15,15,15
31186,5,4,6,6,6
31186,6,99,,,
31188,1,4,6,6,6
31188,2,4,9,9,9
31188,3,4,15,15,15
31188,4,100,,,
31188,5,100,,,
31188,6,100,,,
31205,1,1,9,9,9
31205,2,1,12,12,12
31205,3,1,9,9,9
31205,4,100,,,
31205,5,100,,,
31205,6,100,,,
31219,1,2,6,6,6
31219,2,2,9,9,12
31219,3,2,9,9,9
31219,4,2,3,3,6
31219,5,100,,,
31219,6,100,,,
31220,1,3,6,3,6
31220,2,3,6,6,9
31220,3,3,3,3,3
31220,4,2,6,6,6
31220,5,2,9,9,9
31220,6,99,,,
31227,1,2,12,12,12
31227,2,2,15,15,15
31227,3,2,15,15,18
31227,4,2,9,9,9
31227,5,99,,,
31227,6,99,,,
31229,1,4,9,9,12
31229,2,4,9,9,9
31229,3,4,9,9,9
31229,4,4,9,9,9
31229,5,4,12,9,9
31229,6,99,,,
31239,1,2,12,12,12
31239,2,2,3,3,3
31239,3,2,3,3,6
31239,4,2,6,6,6
31239,5,2,15,15,18
31239,6,99,,,
31252,1,1,12,12,12
31252,2,1,6,6,6
31252,3,1,12,12,12
31252,4,99,,,
31252,5,99,,,
31252,6,99,,,
31262,1,3,18,18,18
31262,2,3,18,18,18
31262,3,101,,,
31262,4,101,,,
31262,5,101,,,
31262,6,101,,,
31275,1,1,9,9,9
31275,2,1,12,12,12
31275,3,99,,,
31275,4,99,,,
31275,5,99,,,
31275,6,99,,,
31277,1,2,12,12,12
31277,2,2,12,9,9
31277,3,2,6,6,6
31277,4,99,,,
31277,5,99,,,
31277,6,99,,,
31296,1,2,15,15,15
31296,2,2,12,12,12
31296,3,2,18,18,18
31296,4,2,18,18,21
31296,5,101,,,
31296,6,101,,,
31301,1,1,3,3,3
31301,2,1,12,12,15
31301,3,1,12,12,12
31301,4,1,12,12,12
31301,5,99,,,
31301,6,99,,,
31308,1,1,3,3,3
31308,2,1,6,6,6
31308,3,99,,,
31308,4,99,,,
31308,5,99,,,
31308,6,99,,,
31317,1,2,15,15,15
31317,2,99,,,
31317,3,99,,,
31317,4,99,,,
31317,5,99,,,
31317,6,99,,,
31319,1,1,15,15,15
31319,2,1,6,6,9
31319,3,1,15,15,15
31319,4,100,,,
31319,5,100,,,
31319,6,100,,,
31320,1,4,9,9,9
31320,2,4,6,6,6
31320,3,99,,,
31320,4,99,,,
31320,5,99,,,
31320,6,99,,,
31347,1,3,12,12,12
31347,2,3,15,15,15
31347,3,3,12,9,9
31347,4,2,12,12,12
31347,5,2,18,18,18
31347,6,101,,,
31351,1,1,6,6,9
31351,2,1,9,9,12
31351,3,1,15,15,18
31351,4,1,12,12,15
31351,5,99,,,
31351,6,99,,,
31362,1,1,15,15,15
31362,2,1,12,12,12
31362,3,1,3,3,3
31362,4,1,3,3,3
31362,5,1,9,9,9
31362,6,1,9,9,12
31363,1,3,12,12,12
31363,2,3,3,3,3
31363,3,3,3,3,3
31363,4,99,,,
31363,5,99,,,
31363,6,99,,,
31368,1,1,3,3,3
31368,2,1,12,12,12
31368,3,1,12,12,12
31368,4,1,6,3,3
31368,5,1,12,12,15
31368,6,99,,,
31370,1,3,6,6,6
31370,2,3,6,6,6
31370,3,3,15,15,15
31370,4,99,,,
31370,5,99,,,
31370,6,99,,,
31375,1,3,9,9,9
31375,2,3,15,15,18
31375,3,100,,,
31375,4,100,,,
31375,5,100,,,
31375,6,100,,,
31377,1,1,6,6,6
31377,2,1,12,12,12
31377,3,99,,,
31377,4,99,,,
31377,5,99,,,
31377,6,99,,,
31378,1,2,18,15,15
31378,2,2,15,15,15
31378,3,2,15,15,15
31378,4,2,18,18,18
31378,5,101,,,
31378,6,101,,,
31379,1,3,15,15,15
31379,2,99,,,
31379,3,99,,,
31379,4,99,,,
31379,5,99,,,
31379,6,99,,,
31382,1,2,12,12,12
31382,2,2,9,9,12
31382,3,2,12,12,15
31382,4,2,9,9,9
31382,5,100,,,
31382,6,100,,,
31383,1,1,6,6,6
31383,2,99,,,
31383,3,99,,,
31383,4,99,,,
31383,5,99,,,
31383,6,99,,,
31384,1,4,15,15,15
31384,2,99,,,
31384,3,99,,,
31384,4,99,,,
31384,5,99,,,
31384,6,99,,,
31388,1,3,15,15,18
31388,2,3,12,12,12
31388,3,3,6,6,6
31388,4,3,6,6,9
31388,5,3,3,3,3
31388,6,3,3,3,3
31399,1,1,3,3,3
31399,2,1,6,6,6
31399,3,100,,,
31399,4,100,,,
31399,5,100,,,
31399,6,100,,,
31404,1,3,6,6,6
31404,2,3,15,15,15
31404,3,100,,,
31404,4,100,,,
31404,5,100,,,
31404,6,100,,,
31417,1,4,12,12,12
31417,2,4,15,15,15
31417,3,99,,,
31417,4,99,,,
31417,5,99,,,
31417,6,99,,,
31418,1,3,18,15,15
31418,2,3,18,18,18
31418,3,101,,,
31418,4,101,,,
31418,5,101,,,
31418,6,101,,,
31432,1,4,15,15,18
31432,2,4,9,9,9
31432,3,4,9,9,9
31432,4,4,9,9,9
31432,5,4,6,6,6
31432,6,4,15,15,15
31441,1,2,15,15,15
31441,2,2,9,9,9
31441,3,2,9,9,9
31441,4,99,,,
31441,5,99,,,
31441,6,99,,,
31448,1,1,15,15,15
31448,2,99,,,
31448,3,99,,,
31448,4,99,,,
31448,5,99,,,
31448,6,99,,,
31449,1,2,12,12,12
31449,2,2,12,12,12
31449,3,2,9,9,9
31449,4,99,,,
31449,5,99,,,
31449,6,99,,,
31450,1,4,12,12,15
31450,2,4,6,6,6
31450,3,4,12,12,12
31450,4,4,15,15,15
31450,5,99,,,
31450,6,99,,,
31451,1,1,9,9,9
31451,2,1,12,12,12
31451,3,1,9,9,9
31451,4,1,6,6,6
31451,5,1,3,3,6
31451,6,99,,,
31455,1,4,15,15,15
31455,2,4,3,3,3
31455,3,4,6,6,6
31455,4,4,3,3,3
31455,5,4,3,3,3
31455,6,99,,,
31456,1,2,9,9,9
31456,2,2,15,12,15
31456,3,2,6,3,3
31456,4,2,9,9,12
31456,5,2,9,9,9
31456,6,99,,,
31457,1,2,6,6,6
31457,2,2,15,15,15
31457,3,2,6,6,6
31457,4,2,3,3,3
31457,5,2,3,3,3
31457,6,99,,,
31459,1,4,12,12,12
31459,2,4,6,6,6
31459,3,4,6,3,3
31459,4,4,9,9,9
31459,5,100,,,
31459,6,100,,,
31460,1,4,15,15,15
31460,2,4,6,6,6
31460,3,4,9,9,9
31460,4,4,12,12,12
31460,5,4,15,15,18
31460,6,99,,,
31481,1,3,12,12,12
31481,2,3,9,9,9
31481,3,3,12,12,12
31481,4,100,,,
31481,5,100,,,
31481,6,100,,,
31483,1,2,15,15,15
31483,2,2,9,9,9
31483,3,2,3,3,3
31483,4,2,9,9,9
31483,5,2,9,9,12
31483,6,2,3,3,6
31486,1,4,3,3,3
31486,2,4,12,12,12
31486,3,4,3,3,3
31486,4,4,12,12,12
31486,5,4,12,12,12
31486,6,100,,,
31487,1,4,18,18,18
31487,2,4,18,18,18
31487,3,101,,,
31487,4,101,,,
31487,5,101,,,
31487,6,101,,,
31488,1,1,12,12,12
31488,2,1,6,6,6
31488,3,1,9,9,9
31488,4,1,9,9,9
31488,5,1,6,6,6
31488,6,99,,,
31490,1,2,12,12,12
31490,2,2,9,9,9
31490,3,2,15,15,15
31490,4,99,,,
31490,5,99,,,
31490,6,99,,,
31503,1,2,18,18,18
31503,2,2,18,18,18
31503,3,101,,,
31503,4,101,,,
31503,5,101,,,
31503,6,101,,,
31508,1,1,15,15,15
31508,2,1,12,12,12
31508,3,1,12,12,12
31508,4,1,6,6,6
31508,5,1,12,12,12
31508,6,99,,,
31509,1,2,9,9,9
31509,2,2,9,9,9
31509,3,2,9,9,9
31509,4,2,15,15,18
31509,5,2,12,12,12
31509,6,99,,,
31512,1,2,15,15,18
31512,2,2,3,3,3
31512,3,2,9,9,9
31512,4,2,3,3,3
31512,5,2,9,9,9
31512,6,99,,,
31536,1,2,15,15,15
31536,2,2,15,15,15
31536,3,2,15,15,15
31536,4,99,,,
31536,5,99,,,
31536,6,99,,,
31541,1,3,3,3,3
31541,2,3,12,12,12
31541,3,3,6,6,6
31541,4,3,12,12,12
31541,5,3,6,6,6
31541,6,99,,,
31542,1,4,9,9,9
31542,2,4,3,3,3
31542,3,4,9,9,9
31542,4,99,,,
31542,5,99,,,
31542,6,99,,,
31544,1,3,12,12,15
31544,2,3,3,3,3
31544,3,3,12,12,12
31544,4,2,6,6,6
31544,5,2,15,15,15
31544,6,99,,,
31545,1,2,6,6,6
31545,2,2,9,6,6
31545,3,2,12,12,12
31545,4,99,,,
31545,5,99,,,
31545,6,99,,,
31549,1,1,3,3,3
31549,2,1,15,15,15
31549,3,1,15,15,15
31549,4,99,,,
31549,5,99,,,
31549,6,99,,,
31558,1,2,15,15,15
31558,2,99,,,
31558,3,99,,,
31558,4,99,,,
31558,5,99,,,
31558,6,99,,,
31560,1,3,12,12,12
31560,2,3,9,9,12
31560,3,99,,,
31560,4,99,,,
31560,5,99,,,
31560,6,99,,,
31563,1,4,6,3,3
31563,2,99,,,
31563,3,99,,,
31563,4,99,,,
31563,5,99,,,
31563,6,99,,,
31566,1,3,6,3,6
31566,2,3,9,9,9
31566,3,100,,,
31566,4,100,,,
31566,5,100,,,
31566,6,100,,,
31571,1,4,18,18,18
31571,2,4,18,18,18
31571,3,101,,,
31571,4,101,,,
31571,5,101,,,
31571,6,101,,,
31575,1,2,9,9,12
31575,2,2,12,12,15
31575,3,2,15,15,15
31575,4,2,15,15,15
31575,5,2,15,15,18
31575,6,99,,,
31580,1,4,3,3,3
31580,2,4,15,15,15
31580,3,4,6,6,9
31580,4,4,15,15,15
31580,5,99,,,
31580,6,99,,,
31585,1,3,6,3,3
31585,2,3,9,9,9
31585,3,3,9,9,9
31585,4,3,12,12,12
31585,5,99,,,
31585,6,99,,,
31590,1,2,9,9,9
31590,2,2,3,3,3
31590,3,2,15,15,18
31590,4,2,6,6,6
31590,5,2,3,3,3
31590,6,100,,,
31600,1,3,12,12,15
31600,2,3,12,12,12
31600,3,3,15,15,18
31600,4,2,12,12,12
31600,5,2,12,12,12
31600,6,99,,,
31602,1,4,15,15,15
31602,2,4,6,6,6
31602,3,4,6,6,6
31602,4,4,12,12,12
31602,5,99,,,
31602,6,99,,,
31605,1,4,9,9,9
31605,2,4,15,15,15
31605,3,4,15,12,12
31605,4,99,,,
31605,5,99,,,
31605,6,99,,,
31610,1,1,3,3,3
31610,2,1,15,15,15
31610,3,1,3,3,6
31610,4,1,9,9,9
31610,5,1,12,12,15
31610,6,99,,,
31612,1,3,12,12,12
31612,2,3,15,15,15
31612,3,3,9,9,9
31612,4,3,15,15,15
31612,5,3,9,9,12
31612,6,99,,,
31613,1,2,6,6,6
31613,2,2,3,3,3
31613,3,2,9,9,9
31613,4,2,15,15,15
31613,5,2,12,12,12
31613,6,99,,,
31617,1,4,15,15,18
31617,2,4,9,9,9
31617,3,99,,,
31617,4,99,,,
31617,5,99,,,
31617,6,99,,,
31624,1,1,6,6,6
31624,2,1,9,9,9
31624,3,1,6,6,6
31624,4,1,3,3,3
31624,5,99,,,
31624,6,99,,,
31628,1,4,9,9,12
31628,2,4,12,12,12
31628,3,4,15,15,15
31628,4,4,6,6,6
31628,5,4,15,15,18
31628,6,4,3,3,3
31629,1,2,6,6,6
31629,2,2,6,6,9
31629,3,2,15,15,15
31629,4,2,12,12,12
31629,5,2,12,12,12
31629,6,99,,,
31633,1,3,18,15,18
31633,2,3,18,18,18
31633,3,3,18,18,18
31633,4,101,,,
31633,5,101,,,
31633,6,101,,,
31634,1,1,9,6,6
31634,2,1,15,15,15
31634,3,1,12,12,12
31634,4,1,15,15,18
31634,5,1,6,6,6
31634,6,99,,,
31638,1,2,12,12,12
31638,2,2,15,15,15
31638,3,2,15,15,15
31638,4,2,15,15,15
31638,5,2,15,15,15
31638,6,101,,,
31645,1,3,9,9,9
31645,2,3,12,12,12
31645,3,99,,,
31645,4,99,,,
31645,5,99,,,
31645,6,99,,,
31650,1,3,9,9,9
31650,2,3,6,6,6
31650,3,3,9,9,9
31650,4,3,15,15,15
31650,5,99,,,
31650,6,99,,,
31653,1,4,9,9,9
31653,2,4,3,3,3
31653,3,4,9,9,9
31653,4,99,,,
31653,5,99,,,
31653,6,99,,,
31657,1,2,15,15,18
31657,2,2,12,12,12
31657,3,99,,,
31657,4,99,,,
31657,5,99,,,
31657,6,99,,,
31669,1,4,6,6,6
31669,2,4,12,12,12
31669,3,99,,,
31669,4,99,,,
31669,5,99,,,
31669,6,99,,,
31680,1,4,3,3,3
31680,2,4,9,9,9
31680,3,4,9,9,9
31680,4,4,3,0,0
31680,5,99,,,
31680,6,99,,,
31696,1,4,12,12,12
31696,2,99,,,
31696,3,99,,,
31696,4,99,,,
31696,5,99,,,
31696,6,99,,,
31699,1,2,6,6,6
31699,2,2,9,9,9
31699,3,2,9,9,9
31699,4,2,6,6,6
31699,5,100,,,
31699,6,100,,,
31703,1,2,3,3,3
31703,2,2,6,6,6
31703,3,2,9,9,9
31703,4,2,3,3,3
31703,5,2,15,15,15
31703,6,99,,,
31720,1,2,12,12,15
31720,2,99,,,
31720,3,99,,,
31720,4,99,,,
31720,5,99,,,
31720,6,99,,,
31723,1,2,12,9,9
31723,2,2,15,12,12
31723,3,2,15,9,9
31723,4,2,12,12,12
31723,5,2,18,18,18
31723,6,101,,,
31732,1,3,12,12,12
31732,2,3,12,12,12
31732,3,3,12,12,12
31732,4,3,6,6,6
31732,5,3,9,9,9
31732,6,99,,,
31734,1,3,15,15,15
31734,2,3,9,9,9
31734,3,3,12,12,12
31734,4,99,,,
31734,5,99,,,
31734,6,99,,,
31735,1,1,6,3,3
31735,2,1,12,12,12
31735,3,1,12,12,12
31735,4,99,,,
31735,5,99,,,
31735,6,99,,,
31744,1,4,15,15,15
31744,2,4,9,9,9
31744,3,4,12,12,12
31744,4,4,15,15,15
31744,5,99,,,
31744,6,99,,,
31749,1,1,3,3,3
31749,2,99,,,
31749,3,99,,,
31749,4,99,,,
31749,5,99,,,
31749,6,99,,,
31750,1,1,12,9,9
31750,2,1,3,3,3
31750,3,1,6,6,6
31750,4,1,6,6,6
31750,5,1,3,3,3
31750,6,100,,,
31754,1,4,3,3,3
31754,2,4,15,15,15
31754,3,4,6,6,6
31754,4,4,6,6,6
31754,5,99,,,
31754,6,99,,,
31768,1,4,9,9,9
31768,2,4,15,15,18
31768,3,4,6,6,6
31768,4,4,15,15,15
31768,5,99,,,
31768,6,99,,,
31774,1,3,15,12,12
31774,2,3,9,9,12
31774,3,3,9,9,9
31774,4,3,6,6,6
31774,5,100,,,
31774,6,100,,,
31780,1,4,12,12,12
31780,2,4,6,6,6
31780,3,4,6,6,6
31780,4,99,,,
31780,5,99,,,
31780,6,99,,,
31784,1,2,3,3,3
31784,2,2,12,12,12
31784,3,99,,,
31784,4,99,,,
31784,5,99,,,
31784,6,99,,,
31790,1,1,6,6,9
31790,2,1,12,12,12
31790,3,1,3,3,3
31790,4,99,,,
31790,5,99,,,
31790,6,99,,,
31794,1,1,9,9,9
31794,2,1,15,15,15
31794,3,1,12,12,12
31794,4,1,6,6,6
31794,5,1,3,3,3
31794,6,100,,,
31800,1,3,15,15,15
31800,2,3,12,12,15
31800,3,3,15,12,12
31800,4,3,15,15,15
31800,5,3,15,15,15
31800,6,101,,,
31801,1,4,18,18,21
31801,2,4,18,18,18
31801,3,4,15,9,9
31801,4,4,15,15,15
31801,5,101,,,
31801,6,101,,,
31802,1,1,12,12,12
31802,2,1,15,15,15
31802,3,1,9,9,9
31802,4,1,6,6,6
31802,5,99,,,
31802,6,99,,,
31814,1,2,12,12,12
31814,2,2,9,9,9
31814,3,2,15,15,15
31814,4,2,15,15,15
31814,5,99,,,
31814,6,99,,,
31815,1,1,12,9,9
31815,2,1,12,12,12
31815,3,1,9,9,12
31815,4,1,6,6,6
31815,5,99,,,
31815,6,99,,,
31824,1,2,12,12,12
31824,2,2,3,3,3
31824,3,2,3,3,3
31824,4,2,15,15,15
31824,5,2,15,15,18
31824,6,2,6,6,6
31835,1,2,12,12,12
31835,2,2,15,15,15
31835,3,2,12,12,12
31835,4,2,9,9,9
31835,5,2,6,3,3
31835,6,100,,,
31837,1,4,18,18,18
31837,2,4,18,18,18
31837,3,4,18,18,18
31837,4,101,,,
31837,5,101,,,
31837,6,101,,,
31842,1,3,6,6,6
31842,2,3,6,6,6
31842,3,3,12,12,12
31842,4,100,,,
31842,5,100,,,
31842,6,100,,,
31849,1,2,12,12,12
31849,2,2,6,6,6
31849,3,2,12,12,15
31849,4,2,12,12,12
31849,5,2,12,12,12
31849,6,100,,,
31850,1,3,15,15,15
31850,2,3,15,15,15
31850,3,3,18,18,21
31850,4,3,18,12,15
31850,5,101,,,
31850,6,101,,,
31855,1,4,3,0,0
31855,2,4,12,12,15
31855,3,100,,,
31855,4,100,,,
31855,5,100,,,
31855,6,100,,,
31857,1,2,18,18,21
31857,2,2,18,15,15
31857,3,101,,,
31857,4,101,,,
31857,5,101,,,
31857,6,101,,,
31858,1,1,9,9,9
31858,2,1,3,3,3
31858,3,1,15,15,15
31858,4,1,3,3,6
31858,5,100,,,
31858,6,100,,,
31863,1,4,18,18,18
31863,2,4,15,15,15
31863,3,4,18,18,18
31863,4,4,15,9,9
31863,5,101,,,
31863,6,101,,,
31864,1,2,15,12,12
31864,2,2,15,15,15
31864,3,2,9,9,9
31864,4,2,3,3,6
31864,5,2,6,6,9
31864,6,99,,,
31869,1,2,6,6,6
31869,2,2,12,12,12
31869,3,2,12,12,12
31869,4,2,15,15,18
31869,5,100,,,
31869,6,100,,,
31877,1,3,6,6,9
31877,2,99,,,
31877,3,99,,,
31877,4,99,,,
31877,5,99,,,
31877,6,99,,,
31879,1,2,12,12,12
31879,2,2,15,15,15
31879,3,2,6,6,6
31879,4,2,3,3,3
31879,5,99,,,
31879,6,99,,,
31881,1,1,12,9,9
31881,2,1,12,12,15
31881,3,1,15,15,15
31881,4,1,6,6,9
31881,5,99,,,
31881,6,99,,,
31882,1,3,6,6,6
31882,2,3,12,12,12
31882,3,3,3,3,3
31882,4,99,,,
31882,5,99,,,
31882,6,99,,,
31885,1,1,6,6,6
31885,2,1,6,6,6
31885,3,1,6,6,6
31885,4,1,9,9,9
31885,5,100,,,
31885,6,100,,,
31891,1,2,12,12,12
31891,2,2,3,3,3
31891,3,2,12,12,15
31891,4,2,6,6,6
31891,5,99,,,
31891,6,99,,,
31892,1,4,15,15,15
31892,2,4,15,9,9
31892,3,4,18,18,18
31892,4,4,15,15,15
31892,5,101,,,
31892,6,101,,,
31897,1,1,3,3,3
31897,2,99,,,
31897,3,99,,,
31897,4,99,,,
31897,5,99,,,
31897,6,99,,,
31898,1,4,3,3,3
31898,2,4,3,3,3
31898,3,4,15,15,15
31898,4,99,,,
31898,5,99,,,
31898,6,99,,,
31903,1,4,15,15,15
31903,2,4,3,3,3
31903,3,4,3,3,3
31903,4,4,9,9,9
31903,5,100,,,
31903,6,100,,,
31906,1,4,6,6,6
31906,2,4,15,12,12
31906,3,99,,,
31906,4,99,,,
31906,5,99,,,
31906,6,99,,,
31920,1,3,3,3,3
31920,2,3,9,9,9
31920,3,3,9,9,12
31920,4,100,,,
31920,5,100,,,
31920,6,100,,,
31923,1,2,9,9,9
31923,2,2,6,6,6
31923,3,2,12,12,12
31923,4,2,12,12,12
31923,5,2,3,3,3
31923,6,100,,,
31929,1,2,15,15,15
31929,2,2,18,18,18
31929,3,2,18,15,15
31929,4,2,12,12,12
31929,5,101,,,
31929,6,101,,,
31931,1,3,18,18,18
31931,2,3,18,15,15
31931,3,3,18,18,18
31931,4,101,,,
31931,5,101,,,
31931,6,101,,,
31936,1,3,12,12,12
31936,2,3,6,6,6
31936,3,3,3,3,3
31936,4,99,,,
31936,5,99,,,
31936,6,99,,,
31951,1,1,15,15,15
31951,2,1,12,12,12
31951,3,1,15,15,15
31951,4,99,,,
31951,5,99,,,
31951,6,99,,,
31952,1,1,9,9,12
31952,2,1,6,6,6
31952,3,99,,,
31952,4,99,,,
31952,5,99,,,
31952,6,99,,,
31960,1,2,18,12,15
31960,2,2,18,18,18
31960,3,101,,,
31960,4,101,,,
31960,5,101,,,
31960,6,101,,,
31964,1,2,9,9,9
31964,2,2,6,6,9
31964,3,2,3,3,3
31964,4,99,,,
31964,5,99,,,
31964,6,99,,,
31967,1,4,9,9,9
31967,2,4,6,6,6
31967,3,4,6,6,6
31967,4,99,,,
31967,5,99,,,
31967,6,99,,,
31971,1,4,15,15,15
31971,2,4,3,3,3
31971,3,4,12,12,12
31971,4,99,,,
31971,5,99,,,
31971,6,99,,,
31978,1,3,18,18,18
31978,2,3,18,18,18
31978,3,101,,,
31978,4,101,,,
31978,5,101,,,
31978,6,101,,,
31981,1,3,15,15,18
31981,2,99,,,
31981,3,99,,,
31981,4,99,,,
31981,5,99,,,
31981,6,99,,,
31982,1,3,6,6,6
31982,2,99,,,
31982,3,99,,,
31982,4,99,,,
31982,5,99,,,
31982,6,99,,,
31985,1,4,6,6,9
31985,2,4,9,9,9
31985,3,4,3,3,3
31985,4,4,9,9,9
31985,5,4,9,9,9
31985,6,99,,,
31990,1,2,3,3,3
31990,2,2,12,12,12
31990,3,2,15,15,15
31990,4,2,15,15,15
31990,5,100,,,
31990,6,100,,,
31993,1,1,3,3,3
31993,2,1,9,9,9
31993,3,1,9,9,9
31993,4,99,,,
31993,5,99,,,
31993,6,99,,,
31997,1,1,9,9,9
31997,2,99,,,
31997,3,99,,,
31997,4,99,,,
31997,5,99,,,
31997,6,99,,,
31999,1,2,12,9,9
31999,2,2,15,15,15
31999,3,100,,,
31999,4,100,,,
31999,5,100,,,
31999,6,100,,,
32018,1,3,6,6,6
32018,2,3,6,6,9
32018,3,3,3,3,3
32018,4,3,6,6,6
32018,5,99,,,
32018,6,99,,,
32020,1,3,15,15,15
32020,2,3,15,15,15
32020,3,3,15,15,15
32020,4,100,,,
32020,5,100,,,
32020,6,100,,,
32022,1,3,9,9,12
32022,2,3,6,6,9
32022,3,99,,,
32022,4,99,,,
32022,5,99,,,
32022,6,99,,,
32031,1,3,9,9,9
32031,2,3,3,3,3
32031,3,3,15,15,15
32031,4,3,3,3,6
32031,5,99,,,
32031,6,99,,,
32040,1,2,12,12,12
32040,2,2,3,3,3
32040,3,99,,,
32040,4,99,,,
32040,5,99,,,
32040,6,99,,,
32051,1,2,6,6,6
32051,2,2,6,6,6
32051,3,99,,,
32051,4,99,,,
32051,5,99,,,
32051,6,99,,,
32052,1,3,9,9,9
32052,2,3,3,3,3
32052,3,3,15,15,15
32052,4,2,6,6,9
32052,5,2,6,6,6
32052,6,99,,,
32056,1,2,9,9,9
32056,2,2,15,15,15
32056,3,2,6,6,6
32056,4,2,9,9,9
32056,5,99,,,
32056,6,99,,,
32072,1,3,12,12,12
32072,2,3,9,9,9
32072,3,3,12,9,9
32072,4,2,6,6,6
32072,5,2,12,12,12
32072,6,100,,,
32073,1,1,9,9,9
32073,2,1,3,3,3
32073,3,1,15,15,15
32073,4,1,3,3,3
32073,5,1,6,6,6
32073,6,100,,,
32093,1,3,15,15,15
32093,2,3,6,6,6
32093,3,3,9,6,6
32093,4,3,3,3,3
32093,5,3,15,15,15
32093,6,100,,,
32096,1,1,6,6,6
32096,2,1,6,6,6
32096,3,99,,,
32096,4,99,,,
32096,5,99,,,
32096,6,99,,,
32098,1,2,9,9,9
32098,2,2,6,6,9
32098,3,2,15,15,15
32098,4,2,9,9,9
32098,5,2,15,15,18
32098,6,99,,,
32099,1,4,3,0,0
32099,2,4,3,3,3
32099,3,4,15,15,15
32099,4,4,3,3,3
32099,5,4,15,15,15
32099,6,100,,,
32105,1,3,18,12,12
32105,2,3,18,15,15
32105,3,3,18,18,18
32105,4,101,,,
32105,5,101,,,
32105,6,101,,,
32106,1,3,15,9,12
32106,2,3,18,18,18
32106,3,3,18,15,15
32106,4,3,15,15,18
32106,5,101,,,
32106,6,101,,,
32107,1,2,15,15,15
32107,2,2,18,18,18
32107,3,2,15,15,15
32107,4,2,18,18,18
32107,5,101,,,
32107,6,101,,,
32113,1,1,9,9,9
32113,2,1,12,12,15
32113,3,1,6,6,6
32113,4,1,9,9,12
32113,5,1,9,9,9
32113,6,99,,,
32122,1,4,3,3,3
32122,2,4,6,6,6
32122,3,4,15,12,15
32122,4,4,12,12,12
32122,5,4,6,6,6
32122,6,99,,,
32125,1,4,3,3,3
32125,2,4,9,9,9
32125,3,4,12,12,12
32125,4,4,6,6,6
32125,5,4,9,9,9
32125,6,99,,,
32126,1,4,3,3,3
32126,2,4,15,15,15
32126,3,4,15,15,15
32126,4,99,,,
32126,5,99,,,
32126,6,99,,,
32139,1,3,6,6,6
32139,2,99,,,
32139,3,99,,,
32139,4,99,,,
32139,5,99,,,
32139,6,99,,,
32142,1,2,3,3,6
32142,2,2,6,6,9
32142,3,2,3,3,6
32142,4,2,12,12,12
32142,5,2,15,15,15
32142,6,99,,,
32148,1,3,9,9,9
32148,2,3,15,15,15
32148,3,3,12,12,12
32148,4,2,12,12,12
32148,5,2,15,15,15
32148,6,100,,,
32172,1,1,6,6,6
32172,2,1,12,12,12
32172,3,1,6,6,6
32172,4,99,,,
32172,5,99,,,
32172,6,99,,,
32177,1,2,9,9,9
32177,2,2,6,6,6
32177,3,2,15,15,15
32177,4,2,3,3,3
32177,5,99,,,
32177,6,99,,,
32183,1,1,9,9,9
32183,2,1,3,3,3
32183,3,1,6,6,6
32183,4,1,15,15,18
32183,5,1,6,6,6
32183,6,99,,,
32187,1,3,18,18,21
32187,2,3,18,18,18
32187,3,101,,,
32187,4,101,,,
32187,5,101,,,
32187,6,101,,,
32188,1,2,6,6,6
32188,2,2,6,6,9
32188,3,2,3,3,3
32188,4,2,15,15,15
32188,5,2,3,3,6
32188,6,99,,,
32189,1,4,3,3,3
32189,2,4,15,12,12
32189,3,99,,,
32189,4,99,,,
32189,5,99,,,
32189,6,99,,,
32193,1,1,12,9,12
32193,2,1,9,9,9
32193,3,100,,,
32193,4,100,,,
32193,5,100,,,
32193,6,100,,,
